store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
1,"Fayetteville-Springdale-Rogers, AR-MO",2110 W Walnut St,Rogers,AR,72756-3246,36.331306,-94.148969,,Other (Non-Proto),Northwest Arkansas,Open
2,"Harrison, AR",161 N Walmart Dr,Harrison,AR,72601-1912,36.268968,-93.139134,,Expansion (Full) Plus,Northwest Arkansas,Open
3,Remaining US,30983 Highway 441 S,Commerce,GA,30529-6655,34.247784,-83.456336,,Expansion (Full),Atlanta North,Open
4,"Fayetteville-Springdale-Rogers, AR-MO",2901 Highway 412 E,Siloam Springs,AR,72761-8673,36.183446,-94.512546,Tenant,Expansion (Rear Backroom),Northwest Arkansas,Open
5,"Little Rock-North Little Rock-Conway, AR",1155 Hwy 65 North,Conway,AR,72032-0000,35.108595,-92.437042,,Other (Non-Proto),Little Rock,Open
7,"Little Rock-North Little Rock-Conway, AR",9053 Highway 107,Sherwood,AR,72120-2933,34.838869,-92.236771,,Centennial Split,Little Rock,Open
8,Remaining US,1621 North Business 9,Morrilton,AR,72110-4505,35.168854,-92.726739,,Tenant,Little Rock,Open
9,Remaining US,1303 S Main St,Sikeston,MO,63801-9360,36.857344,-89.586117,,Seafood External,Joplin,Open
10,"Tahlequah, OK",2020 S Muskogee Ave,Tahlequah,OK,74464-5439,35.888807,-94.979814,,Expansion (Frozen),Tulsa,Open
11,"Mountain Home, AR",65 Wal Mart Dr,Mountain Home,AR,72653-6784,36.355015,-92.340882,Existing Rear,Seafood Internal High,NE Arkansas,Open
12,"Tulsa, OK",1500 S Lynn Riggs Blvd,Claremore,OK,74017-8353,36.293957,-95.627183,,Modified Split,Tulsa,Open
13,"Joplin, MO",2705 Grand Ave,Carthage,MO,64836-7907,37.141982,-94.313254,,Other (Non-Proto),Joplin,Open
14,"Lebanon, MO",1800 S Jefferson Ave,Lebanon,MO,65536-4208,37.663505,-92.645972,,Expansion (Full),Springfield,Open
15,"West Plains, MO",1310 Preacher Roe Blvd,West Plains,MO,65775-2938,36.714712,-91.870322,,Seafood Internal Plus,Springfield,Open
16,"Fort Smith, AR-OK",2214 Fayetteville Rd,Van Buren,AR,72956-6508,35.469087,-94.353342,,Stockroom Middle High,Fort Smith,Open
17,"Joplin, MO",3200 Lusk Dr,Neosho,MO,64850-2028,36.839161,-94.397282,,Tenant,Joplin,Open
19,"Poplar Bluff, MO",333 S Westwood Blvd,Poplar Bluff,MO,63901-5519,36.755743,-90.411807,,Seafood External High,St Louis South,Open
20,Remaining US,1712 E Ohio St,Clinton,MO,64735-2402,38.362772,-93.750585,,Tenant,Springfield,Open
21,"Fort Leonard Wood, MO",185 Saint Robert Blvd,Saint Robert,MO,65584-3311,37.825154,-92.152265,,Rear Backroom,St Louis South,Open
22,Remaining US,4901 S Mill St,Pryor,OK,74361-6837,36.262553,-95.329971,,Expansion (Full),Tulsa,Open
23,"Ruston, LA",1201 N Service Rd E,Ruston,LA,71270-2917,32.543518,-92.624043,,Seafood Internal Plus High,Monroe,Open
24,"Little Rock-North Little Rock-Conway, AR",2000 John Harden Dr,Jacksonville,AR,72076-2730,34.885192,-92.112673,,Seafood External,Little Rock,Open
26,"Kansas City, MO-KS",5000 10th Ave,Leavenworth,KS,66048-5514,39.268799,-94.930359,In-Lane,Centennial Split,Kansas City,Open
28,"Miami, OK",2415 N Main St,Miami,OK,74354-2232,36.904546,-94.880331,,Tenant,Tulsa,Open
29,"Jefferson City, MO",724 Stadium West Blv,Jefferson City,MO,65109-4772,38.580049,-92.219907,,Other (Non-Proto),Columbia MO,Open
30,Remaining US,2025 W Business Us Highway 60,Dexter,MO,63841-2879,36.801185,-89.992373,,Tenant,St Louis South,Open
31,"Fort Smith, AR-OK",3108 N Broadway St,Poteau,OK,74953-5410,35.094581,-94.628209,,Tenant,Tulsa,Open
34,Remaining US,2250 Lincoln Ave,Nevada,MO,64772-4258,37.832201,-94.326552,,Combined Stockroom,Joplin,Open
35,"Manhattan, KS",101 Bluemont Ave,Manhattan,KS,66502-5093,39.188462,-96.556291,,Modified Split,Junction City,Open
36,"Paragould, AR",2802 W Kingshighway,Paragould,AR,72450-2617,36.057305,-90.522942,,Expansion (Ambient),NE Arkansas,Open
37,"Farmington, MO",707 Walton Dr,Farmington,MO,63640-1950,37.789468,-90.435275,,Other (Non-Proto),St Louis South,Open
38,Remaining US,1907 Se Washington St,Idabel,OK,74745-5253,33.898013,-94.803537,,Other (Non-Proto),OKC South,Open
39,Remaining US,2500 S Main St,Fort Scott,KS,66701-8724,37.807935,-94.708803,,Combined Stockroom,Columbia MO,Open
41,"Bartlesville, OK",4000 Se Green Country Rd,Bartlesville,OK,74006-5000,36.740666,-95.931645,,Seafood Internal Plus,Tulsa,Open
42,"Coffeyville, KS",1863 Cr 5300,Coffeyville,KS,67337-8301,37.042359,-95.579038,,Tenant,Columbia MO,Open
43,"Junction City, KS",521 E Chestnut St,Junction City,KS,66441-9410,39.018965,-96.820674,,Rear Backroom,Junction City,Open
45,"Jonesboro, AR",1815 E Highland Dr,Jonesboro,AR,72401-6118,35.818991,-90.685269,Feature Space,Expansion (Ambient),NE Arkansas,Open
46,"Springfield, MO",2451 S Springfield Ave,Bolivar,MO,65613-9123,37.591722,-93.403975,,Expansion (Rear Backroom),Springfield,Open
47,"Fort Smith, AR-OK",1101 W Ruth Ave,Sallisaw,OK,74955-7252,35.451011,-94.801812,Tenant,Modified Split,Tulsa,Open
48,Remaining US,885 E Us Highway 60,Monett,MO,65708-9367,36.911766,-93.903127,,Other (Non-Proto),Joplin,Open
52,"Hot Springs, AR",1601 Albert Pike Rd,Hot Springs,AR,71913-4020,34.490984,-93.089402,Tenant,Seafood External High,Little Rock,Open
54,"Fayetteville-Springdale-Rogers, AR-MO",2004 S Pleasant St,Springdale,AR,72764-6204,36.166213,-94.146938,,Tenant,Northwest Arkansas,Open
58,"Russellville, AR",2409 E Main St,Russellville,AR,72802-9619,35.280506,-93.105258,Inlane,Centennial,Little Rock,Open
59,"Joplin, MO",1501 S Range Line Rd,Joplin,MO,64804-3230,37.072913,-94.472943,,Centennial,Joplin,Open
60,"St. Louis, MO-IL",101 Highway 47 E,Troy,MO,63379-3100,38.988754,-90.981993,,Other (Non-Proto),St Louis,Open
61,"Warrensburg, MO",301 E Cooper St,Warrensburg,MO,64093-1260,38.781127,-93.735373,,Seafood Internal Plus,Kansas City,Open
63,"Tulsa, OK",410 S Dewey Ave,Wagoner,OK,74467-5500,35.956679,-95.397494,,Other (Non-Proto),Tulsa,Open
65,"St. Louis, MO-IL",350 Park Ridge Rd,Sullivan,MO,63080-3334,38.220883,-91.154741,,Tenant,St Louis South,Open
66,Remaining US,230 Market St.,Clarksville,AR,72830-9069,35.448688,-93.460473,,Expansion (Other),Fort Smith,Open
69,"St. Louis, MO-IL",650 S Truman Blvd,Festus,MO,63028-2235,38.212063,-90.387999,,Seafood Internal Plus High,St Louis South,Open
70,"Memphis, TN-MS-AR",798 W Service Rd,West Memphis,AR,72301-1727,35.165474,-90.199945,,Seafood Internal,Memphis,Open
72,"Pittsburg, KS",2710 N Broadway St,Pittsburg,KS,66762-2625,37.433971,-94.702312,,Modified Split Backroom,Columbia MO,Open
73,"Tulsa, OK",1002 W Taft St,Sapulpa,OK,74066-8720,35.986336,-96.135076,,Seafood External,Tulsa,Open
